id,name,category,description,auth_methods,self_serve,gating_details,api_surface_breadth,api_type,has_mcp,buildable_now,main_blocker,confidence
"1","Salesforce","CRM and Sales","Enterprise CRM platform with the broadest API ecosystem in CRM","OAuth2;JWT;Username-Password (legacy)","yes","Free Developer Edition org with full API access. Production requires paid license but dev tiers are free.","broad","REST","no","yes","Complex auth setup (multiple OAuth flows, IP ranges) and API rate limits. Broad surface but needs careful scope management.","high"
"2","HubSpot","CRM and Sales","All-in-one CRM, marketing, sales, and service platform with extensive API","OAuth2;API Key (deprecated)","yes","Free developer account with API access. Paid plans needed for higher rate limits and some endpoints.","broad","REST","no","yes","Rate limits on free tier (250 req/10sec). Some objects require paid subscriptions. Broad API needs careful scoping.","high"
"3","Pipedrive","CRM and Sales","Sales pipeline CRM with focused deal management API","OAuth2;API Key","yes","Free trial available with API access. Paid plans start at $12.50/month.","medium","REST","no","yes","Smaller API surface than HubSpot/Salesforce. Limited to CRM functions only.","high"
"4","Attio","CRM and Sales","Modern, flexible CRM with a developer-first REST API and MCP server","API Key;Bearer Token","yes","Free tier available with API access. Paid plans for higher usage.","medium","REST","yes","yes","Relatively newer platform, API is still maturing. Fewer integrations than incumbents.","high"
"5","Twenty","CRM and Sales","Open-source CRM with REST + GraphQL APIs, self-hostable","API Key;Bearer Token","yes","Open-source, completely free to self-host. Twenty Cloud has free tier.","medium","both","no","yes","Younger project, API still evolving. Fewer endpoints than Salesforce/HubSpot but growing fast.","high"
"6","Podio","CRM and Sales","Citrix-owned customizable work management platform with REST API","OAuth2;API Key","partial","Free tier available. But platform is in maintenance mode under Citrix - new developer signups may be restricted.","medium","REST","no","partial","Under Citrix, in maintenance mode. Platform may not be actively developed. Risk of deprecation.","medium"
"7","Zoho CRM","CRM and Sales","Zoho's CRM offering part of a larger Zoho ecosystem with broad APIs","OAuth2;Auth Token (legacy)","yes","Free tier available (3 users). Developer accounts easy to create. Paid plans for more users/features.","broad","REST","no","yes","API documentation quality varies. Zoho ecosystem has many independent APIs that don't always work well together.","medium"
"8","Close","CRM and Sales","Inside sales CRM with built-in calling, email, and SMS","API Key","yes","Free trial available. Paid plans start affordably. Developer docs open to all.","medium","REST","no","yes","API covers CRM operations well but is focused on Close's specific model (leads, activities, call tracking).","high"
"9","Copper","CRM and Sales","CRM designed for Google Workspace users with REST API","API Key;OAuth2","partial","Free trial available. Full API access may require paid plan. Some endpoints restricted.","medium","REST","no","yes","API not as broad as Salesforce/HubSpot. Strong in Google Workspace integration, weaker elsewhere.","medium"
"10","DealCloud","CRM and Sales","Private equity and investment CRM with comprehensive REST API","OAuth2;API Key","no","Enterprise-focused platform. Requires partnership or paid plan. No free developer tier.","medium","REST","no","no","Enterprise-gated. No self-serve API access. Must be a DealCloud customer with a paid plan.","high"
"11","Zendesk","Support and Helpdesk","Leading customer service platform with extensive REST API","OAuth2;API Token;Basic Auth","yes","Free trial (30 days) available. Developer account with sandbox. Paid plans required for production.","broad","REST","no","yes","Rate limits on trial. Some endpoints require specific Zendesk plans. Broad API needs scope management.","high"
"12","Intercom","Support and Helpdesk","Customer communications platform with REST API and AI agents","OAuth2;Access Token","yes","Free trial available. Developer hub accessible. Paid plans for production use.","broad","REST","no","yes","API rate limits. Some data (conversations, articles) has pagination limits.","high"
"13","Freshdesk","Support and Helpdesk","Cloud-based customer support software with REST API","API Key;Basic Auth","yes","Free tier (Sprout) available. Developer portal open. Paid plans start at $15/month.","medium","REST","no","yes","No OAuth2 - uses Basic Auth with API key, less secure. API surface is adequate but not as broad as Zendesk.","high"
"14","Front","Support and Helpdesk","Shared inbox platform for teams with REST API","OAuth2;API Key","partial","Free trial available. Full API access requires paid plan. Developer docs available.","medium","REST","no","yes","API covers shared inbox operations well but may lack depth in some areas.","medium"
"15","Pylon","Support and Helpdesk","Customer support platform designed for B2B SaaS, with chat and ticketing","API Key","partial","Early-stage product. Free trial available but API documentation may be limited. Growing platform.","narrow","REST","no","partial","Newer platform with limited API documentation and smaller endpoint surface. API may still be evolving.","medium"
"16","LiveAgent","Support and Helpdesk","Help desk and live chat platform with REST API","API Key","yes","Free trial (30 days) available. Paid plans start at $9/month. API available on all plans.","medium","REST","no","yes","API is functional but documentation quality varies. Not as well-known as Zendesk/Intercom.","medium"
"17","Plain","Support and Helpdesk","Modern B2B customer support platform with GraphQL API","Bearer Token","yes","Free trial available. Modern platform with good developer docs. API accessible from trial.","medium","GraphQL","no","yes","GraphQL-only (not REST). Smaller ecosystem but well-designed API. Newer platform.","high"
"18","Help Scout","Support and Helpdesk","Simple, customer-focused help desk with REST and Docs APIs","API Key;Basic Auth","yes","Free trial available. Developer docs open to all. Paid plans for production use.","medium","REST","no","yes","Basic Auth with API key (no OAuth2). Two separate APIs that could be unified. Smaller surface than Zendesk.","high"
"19","Gorgias","Support and Helpdesk","Ecommerce help desk platform with multi-channel support and REST API","OAuth2;API Key","partial","Free trial available. Building a public app requires signing up for developer partnership. API docs accessible.","medium","REST","no","yes","Public app development requires partnership approval. Private API keys available but with limits.","high"
"20","Gladly","Support and Helpdesk","Customer service platform focused on conversation-centric support","API Key;Bearer Token","no","Enterprise-focused. No self-serve developer trial. Requires becoming a customer or partner.","narrow","REST","no","no","Enterprise-gated. Limited public API documentation. Requires paid Gladly account for API access.","medium"
"21","Slack","Communications and Messaging","Team communication platform with comprehensive APIs, Events API, and Modals","OAuth2","yes","Free Slack workspace for development. App creation in API portal is free. No paid account needed for dev.","broad","REST","no","yes","Complex OAuth scope system. Event subscriptions need verification. Socket Mode vs RTM decisions. Rate limits per workspace.","high"
"22","Twilio","Communications and Messaging","Cloud communications platform for SMS, voice, video, and email via REST APIs","API Key;Basic Auth (Account SID + Auth Token)","yes","Free trial credits ($15) on signup. Pay-as-you-go. No approval needed to start building.","broad","REST","no","yes","Complex product family (SendGrid, Segment, Twilio proper). Each has different API. Trial limited to verified numbers.","high"
"23","Zoho Cliq","Communications and Messaging","Zoho's team messaging and collaboration platform","OAuth2","yes","Free tier available (limited users). Zoho developer account is free. Part of Zoho ecosystem.","medium","REST","no","yes","Documentation is less polished than Slack/Discord. Tied to Zoho ecosystem.","medium"
"24","Lark (Larksuite)","Communications and Messaging","ByteDance's enterprise collaboration platform with open APIs","OAuth2;App Token (Tenant + User)","yes","Free developer account at open.larksuite.com. App creation is free. Some endpoints may need enterprise plan.","broad","REST","no","yes","Two-level auth (tenant + user) adds complexity. Documentation primarily in English but some gaps. China vs International versions differ.","medium"
"25","Pumble","Communications and Messaging","Free team chat app with file sharing, no paid tier needed for full features","API Key","partial","Free to use. But API documentation is scarce - platform is relatively new.","none","none","no","no","Very limited or no public REST API. Primarily a webhook consumer. Not suitable for agent toolkit without API expansion.","medium"
"26","Discord","Communications and Messaging","Gaming-adjacent chat platform with comprehensive REST API, Gateway, and Interactions","OAuth2;Bot Token","yes","Free developer portal. Create applications and bots without payment. No paid verification needed for basic bot.","broad","REST","yes","yes","Rate limits are strict (50 req/sec per bot). Gateway connections for real-time. Some endpoints (message history) paginated.","high"
"27","Telegram","Communications and Messaging","Secure messaging platform with open Bot API and MTProto protocol","Bot Token","yes","Completely free. Create unlimited bots via @BotFather. No paid tier for API access.","broad","REST","yes","yes","Bot Token only (no OAuth for user accounts). No webhook by default - needs polling or webhook setup. Polling architecture less standard.","high"
"28","WhatsApp Business","Communications and Messaging","Meta's business messaging platform with Cloud API and On-Premises API","OAuth2;Bearer Token","yes","Free tier available (1,000 conversations/month). Meta Developer account needed. Business Verification may be required.","medium","REST","no","yes","Business verification required for production. Message templates need approval. Opt-in model before messaging users.","high"
"29","Aircall","Communications and Messaging","Cloud-based phone system for sales and support teams with REST API","API Key;Basic Auth","partial","Free trial available. API access included in paid plans. No free developer-only tier.","medium","REST","no","yes","API access requires paid account. Webhook-based for real-time events. Voice data (recordings) has privacy restrictions.","medium"
"30","Vonage","Communications and Messaging","Cloud communications (SMS, Voice, Verify, Video) with REST APIs and SDKs","API Key;Signature (HMAC)","yes","Free trial credit (€2) on signup. Pay-as-you-go after. No approval needed for development.","broad","REST","no","yes","Multiple auth models (API Key, JWT, HMAC) for different products. Trial credit limited. Number provisioning for voice needs verification.","high"
"31","Google Ads","Marketing, Ads, Email and Social","Google's advertising platform with comprehensive REST API","OAuth2","yes","Free Google Ads manager account needed. Developer token is free but needs application for production access. Test accounts available.","broad","REST","no","yes","Developer token approval process can take days/weeks. OAuth setup is complex (Google Cloud project, consent screen). API has steep learning curve.","high"
"32","Meta Ads","Marketing, Ads, Email and Social","Facebook and Instagram advertising APIs via Meta Marketing API","OAuth2;Access Token","partial","Meta Developer account is free. But many Marketing API endpoints require App Review + Business Verification. Test users available.","broad","REST","no","partial","App Review process is notorious. Many endpoints need business verification. API versioning is aggressive (versions deprecated).","high"
"33","LinkedIn Ads","Marketing, Ads, Email and Social","LinkedIn's B2B advertising and marketing APIs under Microsoft","OAuth2","partial","Free developer account. Marketing API access requires LinkedIn Page admin + Business verification. Application process.","medium","REST","no","partial","Multi-level approval: Azure AD app, LinkedIn API access form, Business verification. Heavy documentation. Slower to get access than Google/Meta.","high"
"34","GoHighLevel","Marketing, Ads, Email and Social","All-in-one marketing and sales platform for agencies with REST API","API Key","yes","Paid subscription required ($97+/month). No free developer tier. API accessible on all plans.","broad","REST","no","yes","No free tier - requires paid subscription. API key-based auth (no OAuth2). Documentation quality is inconsistent.","medium"
"35","Mailchimp","Marketing, Ads, Email and Social","Email marketing platform with REST API and marketing automation","OAuth2;API Key","yes","Free tier available (500 contacts, 1,000 emails/month). Developer account easy to create.","medium","REST","no","yes","API keys are datacenter-specific (different base URLs per key). Rate limits on free tier. Some endpoints require higher plans.","high"
"36","Klaviyo","Marketing, Ads, Email and Social","Ecommerce marketing automation platform with REST API","API Key;Private Key","yes","Free tier available (up to 250 contacts). API accessible on free plan.","medium","REST","no","yes","Public/private key model is unusual. API is ecommerce-focused. Rate limits on free tier.","high"
"37","systeme.io","Marketing, Ads, Email and Social","All-in-one marketing funnel builder with email marketing and sales features","API Key","yes","Free tier available (limited features). Paid plans for more functionality.","narrow","REST","no","partial","Limited API documentation and endpoint surface. API may not cover all platform features. Smaller platform ecosystem.","medium"
"38","Pinterest","Marketing, Ads, Email and Social","Visual discovery platform with REST API for pins, boards, and ads","OAuth2","yes","Free developer account. App creation is free. Some endpoints (Ads API) require business account.","medium","REST","no","yes","Different scopes for organic vs ads API. App Review needed for some access levels. API is read/write but limited on write for some objects.","high"
"39","Threads (Meta)","Marketing, Ads, Email and Social","Meta's text-based conversation app with limited public API","OAuth2","yes","Free Meta Developer account. Threads API is in development/preview. Limited endpoints available.","narrow","REST","no","partial","Threads API is very new and limited. Currently supports posting and basic read. No ads API, no analytics API yet.","medium"
"40","SendGrid","Marketing, Ads, Email and Social","Twilio's email delivery service with REST API and SMTP","API Key","yes","Free tier (100 emails/day forever). Pay-as-you-go for more. Twilio account needed.","medium","REST","no","yes","API key only (no OAuth2). Email sending requires domain authentication (SPF, DKIM). Suppression management. Template management needs API calls.","high"
"41","Shopify","Ecommerce","Leading ecommerce platform with comprehensive GraphQL and REST APIs","OAuth2","yes","Free development stores for building apps. Partner account is free. No credit card needed for dev stores.","broad","both","no","yes","OAuth scope negotiation is complex. GraphQL has rate limits based on cost model. REST API being deprecated in favor of GraphQL.","high"
"42","WooCommerce","Ecommerce","Open-source WordPress ecommerce plugin with REST API","API Key;OAuth1","yes","Open-source. Self-hosted, so full control. WordPress + WooCommerce are free. API always available.","medium","REST","no","yes","OAuth1.0a (legacy) auth with signature generation. Self-hosted means varying reliability. WordPress dependency.","high"
"43","BigCommerce","Ecommerce","SaaS ecommerce platform with REST and GraphQL APIs","API Key;OAuth2","yes","Free trial available. Dev sandbox for building. Paid plans for production.","broad","both","no","yes","API versioning can be confusing (V2 vs V3 for different resources). Some endpoints require specific plan levels.","high"
"44","Salesforce Commerce Cloud","Ecommerce","Enterprise ecommerce platform by Salesforce with REST and SOAP APIs","OAuth2;JWT","partial","Enterprise Salesforce product. Requires Salesforce account/contract. Developer sandbox available for customers.","broad","REST","no","no","Enterprise-gated. Requires Salesforce Commerce Cloud license (very expensive). No free developer tier for Commerce Cloud specifically.","high"
"45","Magento (Adobe Commerce)","Ecommerce","Adobe's enterprise ecommerce platform with REST API","OAuth1;Bearer Token (Integration);Basic Auth","yes","Magento Open Source is free. Adobe Commerce (Enterprise) requires license. Development instances are free to set up.","broad","REST","no","yes","Architecture complexity (many module-specific APIs). Integration tokens need admin setup. Open source vs Commerce split causes confusion.","high"
"46","Squarespace","Ecommerce","Website builder and commerce platform with REST API","OAuth2;API Key","partial","Developer portal available. API access requires Squarespace account. Some endpoints require paid plan.","narrow","REST","no","partial","API surface is limited compared to Shopify/BigCommerce. Focused on basic commerce operations. Not a full ecommerce platform API.","medium"
"47","Ecwid","Ecommerce","Lightweight ecommerce widgets with REST API","API Key","yes","Free tier available (up to 10 products). Paid plans for more features.","medium","REST","no","yes","Smaller platform with fewer integrations. API is functional but less documented than Shopify.","medium"
"48","Gumroad","Ecommerce","Platform for creators to sell digital products with REST API","API Key;OAuth2","yes","Free to start (Gumroad takes cut). No monthly fee on free plan. Developer docs accessible.","narrow","REST","no","yes","Smaller API surface focused on products, sales, and subscribers. Not a full ecommerce platform.","high"
"49","Amazon Selling Partner","Ecommerce","Amazon's seller API platform for managing listings, orders, and reports","OAuth2","partial","Free to join Selling Partner program. Requires Amazon Seller Central account. Professional seller account ($39.99/month) needed for API access.","broad","REST","no","partial","Extremely complex auth setup (AWS IAM + SP API + LWAA). Professional seller account required. Rate limits are strict and quota-based.","high"
"50","fanbasis","Ecommerce","Platform for creators and fan communities (limited public information)","API Key","unknown","Unknown - the platform appears to be a smaller/niche player. Limited public dev portal.","unknown","unknown","no","no","Very limited public API documentation. Unclear if a public API exists for third-party development.","low"
"51","DataForSEO","Data, SEO and Scraping","SEO and rank tracking data API with comprehensive search data endpoints","API Key;Basic Auth","yes","Pay-as-you-go model. Free trial with $50 credit on signup. No approval needed.","broad","REST","no","yes","Custom auth flow (not standard OAuth2). Pay-per-query pricing model. API is data-only, no write operations.","high"
"52","SE Ranking","Data, SEO and Scraping","SEO platform with rank tracking, keyword research, and competitor analysis APIs","API Key","yes","Free trial available. Paid plans required for ongoing API access.","medium","REST","no","yes","Smaller platform, less documentation than DataForSEO. API key only (no OAuth2).","medium"
"53","Ahrefs","Data, SEO and Scraping","SEO toolset with backlink analysis, keyword research, and site audit APIs","API Key","yes","Paid plans required ($99+/month). No free tier for API. Trial available.","medium","REST","no","yes","Relatively expensive API access ($99+/month). Read-only API (data analysis, no write). API key only.","high"
"54","MrScraper","Data, SEO and Scraping","No-code web scraping platform with API access","API Key","yes","Free tier available (limited credits). Pay-as-you-go for more.","narrow","REST","no","yes","API is focused on triggering scrapes and retrieving results. Limited to the scraping platform's capabilities.","medium"
"55","Apify","Data, SEO and Scraping","Web scraping and automation platform with extensive API and pre-built actors","API Token;Bearer Token","yes","Free tier (platform credits, limited compute). Pay-as-you-go for more. Developer account is free.","broad","REST","no","yes","Token-based auth (no OAuth2). Actor ecosystem is broad but inconsistent in quality. Compute costs for large scrapes.","high"
"56","Firecrawl","Data, SEO and Scraping","API for converting websites to clean markdown (built for AI/LLM consumption)","API Key","yes","Free tier (500 credits). Pay-as-you-go. Open-source option available.","narrow","REST","yes","yes","Narrow API surface (crawl, scrape, map). Purpose-built tool, not general platform.","high"
"57","Bright Data","Data, SEO and Scraping","Enterprise web data platform with proxy networks, scraping browser, and datasets","API Key;Bearer Token","yes","Free trial available. Pay-as-you-go pricing. Enterprise for large-scale.","medium","REST","no","yes","Premium pricing for production. Proxy infrastructure is complex. Data collector builder is a platform of its own.","medium"
"58","Sherlock","Data, SEO and Scraping","Open-source CLI tool for finding usernames across social networks (not an API platform)","none","yes","Open-source, free. Self-hosted CLI tool. No cloud API.","none","none","no","no","Sherlock is a CLI tool, not an API platform. No cloud API to integrate with. Runs as local Python.","high"
"59","Waterfall.io","Data, SEO and Scraping","Company and contact intelligence platform for sales data enrichment","API Key","yes","Free trial available. Paid plans for ongoing API access.","narrow","REST","no","yes","Narrow API - mainly company/contact lookups. Paid plan required for meaningful use.","medium"
"60","Clay","Data, SEO and Scraping","Data enrichment and sales intelligence platform with multi-source data merging","API Key","yes","Free tier (limited credits). Paid plans for more. Growing API surface.","medium","REST","no","yes","API key auth (no OAuth2). Pricing can be high for volume use. Rapidly evolving product.","medium"
"61","GitHub","Developer, Infra and Data platforms","Code hosting platform with comprehensive REST and GraphQL APIs","OAuth2;Personal Access Token;GitHub App Token;OAuth Device Flow","yes","Free tier with full API access. Higher rate limits on paid plans. No approval needed.","broad","both","yes","yes","Multiple auth models can be confusing. GraphQL is preferred for production. PAT fine-grained scoping needs careful management.","high"
"62","Vercel","Developer, Infra and Data platforms","Frontend deployment and hosting platform with REST API","Bearer Token;OAuth2","yes","Free tier (Hobby plan) with API access. Paid plans for team features.","medium","REST","no","yes","API is deployment-focused (deployments, domains, projects). Some endpoints require team plan.","high"
"63","Netlify","Developer, Infra and Data platforms","Web hosting and serverless platform with REST API","OAuth2;Personal Access Token","yes","Free tier with API access. Paid plans for team features.","medium","REST","no","yes","Smaller API than Vercel. Some endpoints (analytics, functions logs) have limited surface.","high"
"64","Cloudflare","Developer, Infra and Data platforms","CDN, security, and developer platform with extensive REST API","API Token;API Key (Email + Key);OAuth2","yes","Free tier with API access. Many endpoints available on free plan. Paid plans for advanced features.","broad","REST","no","yes","Very broad API with many product-specific areas (DNS, Workers, D1, R2, etc.). API tokens need careful scope management. Free tier rate limits.","high"
"65","Supabase","Developer, Infra and Data platforms","Open-source Firebase alternative with PostgreSQL, REST, GraphQL, and Realtime APIs","API Key;Bearer Token;Service Role Key","yes","Free tier (500MB database, 2GB bandwidth). Developer account free. Open-source.","broad","both","yes","yes","Multiple key types (anon vs service role) can be confusing. Service role key gives full access - must be kept secret.","high"
"66","Neo4j","Developer, Infra and Data platforms","Graph database platform with Cypher query API and REST endpoints","Basic Auth;Bearer Token;JWT","yes","Free tier (AuraDB: 50k nodes). Community edition self-hosted is free. Developer account free.","medium","REST","no","yes","Primary API is Cypher query language over Bolt protocol, not REST. REST API exists but is less common. Bolt protocol requires driver.","high"
"67","Snowflake","Developer, Infra and Data platforms","Cloud data warehouse with SQL-based API and extensive integrations","OAuth2;Key Pair (JWT);Basic Auth","yes","Free trial (400 credits). Pay-as-you-go for production. No approval needed for trial.","broad","REST","no","yes","API is SQL-focused and database-oriented. Key pair JWT auth for automation is complex. REST API is thin wrapper around SQL.","high"
"68","MongoDB Atlas","Developer, Infra and Data platforms","Managed MongoDB database platform with Data API and admin REST API","API Key;OAuth2;Database Auth","yes","Free tier (M0: 512MB storage). Pay-as-you-go for more. Developer account free.","medium","REST","yes","yes","Admin API and Data API are separate. Admin API manages clusters; Data API (Atlas Data API) accesses data via HTTPS. Distinct auth models.","high"
"69","Datadog","Developer, Infra and Data platforms","Monitoring and observability platform with extensive REST API","API Key;Application Key","yes","Free trial (full features, 14 days). Pay-as-you-go. API accessible during trial.","broad","REST","no","yes","Two-key auth model (API + App key) adds setup complexity. Very broad API surface (100+ endpoints across many products). Rate limits on trial.","high"
"70","Sentry","Developer, Infra and Data platforms","Error tracking and performance monitoring platform with REST API","Auth Token;OAuth2","yes","Free tier (5k events/month, 1 user). Paid plans for more. Developer account free.","medium","REST","no","yes","API is organized around projects/organizations. Event data queries can be complex. Rate limits on free tier.","high"
"71","Notion","Productivity and Project Management","All-in-one workspace with REST API for pages, databases, and blocks","OAuth2;Internal Integration Token","yes","Free Notion account + free integration creation. No approval needed for internal integrations.","medium","REST","yes","yes","Rate limits (3 req/sec for internal). API covers pages, databases, blocks but not all Notion features. No search endpoint in basic API.","high"
"72","Airtable","Productivity and Project Management","Spreadsheet-database hybrid with REST API and scripting capabilities","API Key;OAuth2","yes","Free tier (unlimited bases, 1k records/base). API accessible on free plan.","medium","REST","no","yes","API is base/table/record oriented. Record limits on free plan. Webhook support limited. OAuth2 migration in progress.","high"
"73","Linear","Productivity and Project Management","Modern issue tracking and project management with GraphQL API","OAuth2;API Key","yes","Free tier (up to 10 users). API accessible on free plan. Developer account free.","medium","GraphQL","yes","yes","GraphQL-only (no REST). Requires understanding of GraphQL queries. Rate limits on free tier.","high"
"74","Jira","Productivity and Project Management","Atlassian's industry-standard issue tracking and project management platform","OAuth2;API Token;Basic Auth (deprecated)","yes","Free tier (up to 10 users). Cloud instance for development. Marketplace for apps.","broad","REST","no","yes","Complex API with versioning quirks. Cloud vs Server API differences. OAuth scopes are granular but confusing. Rate limits on free tier.","high"
"75","Asana","Productivity and Project Management","Work management platform with REST API and GraphQL option","OAuth2;Personal Access Token","yes","Free tier (basic features). Developer account free. API accessible on free plan.","medium","REST","no","yes","API covers tasks, projects, sections, but some operations need multiple calls. Rate limits: 150 req/min per PAT.","high"
"76","Monday.com","Productivity and Project Management","Visual project management platform with REST API and GraphQL","API Key;OAuth2","yes","Free tier (2 users, limited boards). Developer account free. API accessible on free plan.","medium","both","no","yes","API v1 vs v2 confusion. GraphQL API v2 is primary now. Board structure is flexible but complex to query.","high"
"77","ClickUp","Productivity and Project Management","All-in-one project management platform with extensive REST API","API Key","yes","Free Forever plan with API access. Paid plans for advanced features and higher limits.","broad","REST","no","yes","API key only (no OAuth2 for native integrations). Very broad API but documentation quality varies. Rate limits: 100 req/min.","high"
"78","Coda","Productivity and Project Management","Collaborative document platform with REST API and packs (plugins)","API Key;OAuth2","yes","Free tier with API access. Packs development is free. Paid plans for doc size limits.","medium","REST","no","yes","API is doc/table/row oriented. Packs are the extension mechanism, not a pure API. Smaller ecosystem.","medium"
"79","Smartsheet","Productivity and Project Management","Enterprise work management platform with REST API","OAuth2;Bearer Token","yes","Free trial available. Paid plans required for ongoing API access. Developer docs accessible.","medium","REST","no","yes","Enterprise-focused pricing. Sheet/row model is different from other PM tools. Some features require specific plan levels.","medium"
"80","Harvest","Productivity and Project Management","Time tracking and invoicing platform with REST API","OAuth2;Personal Access Token","yes","Free tier (2 projects, unlimited time tracking). Paid plans for invoicing and team features.","medium","REST","no","yes","Niche API focused on time tracking and expenses. Invoice and budget features limited on free plan.","high"
"81","Stripe","Finance and Fintech","Global payment processing platform with one of the best-designed APIs in fintech","API Key (Secret + Publishable)","yes","Free to create account. Test mode available without live credentials. Pay-as-you-go pricing.","broad","REST","yes","yes","API key only for own account (Connect OAuth for third-party). Event-driven architecture (webhooks) for async operations. Idempotency keys required for safety.","high"
"82","Plaid","Finance and Fintech","Financial data aggregation platform connecting apps to bank accounts","OAuth2;Client ID + Secret","yes","Free Sandbox environment for development. Production requires going through Plaid's onboarding.","medium","REST","no","yes","Sandbox vs Production access gating. OAuth re-auth flows are complex. Requires financial data regulations compliance.","high"
"83","Binance","Finance and Fintech","Largest cryptocurrency exchange with extensive REST and WebSocket APIs","API Key + Secret (HMAC);RSA Key","yes","Free Binance account. API key generation is free. Different verification levels grant different access.","broad","REST","no","yes","HMAC signature generation for every request. WebSocket streams for real-time data. Regulatory restrictions in some regions.","high"
"84","Paygent Connect","Finance and Fintech","Payment gateway powered by NMI (formerly Paygent)","API Key;Token","no","Requires merchant account and underwriting. No free developer tier. Partnership/contract needed.","narrow","REST","no","no","Requires active merchant account. Limited public documentation. NMI-powered but rebranded, adds complexity.","low"
"85","iPayX","Finance and Fintech","Payment processing and gateway platform","API Key;Token","no","Requires merchant account. No public free tier. Partnership likely needed.","narrow","REST","no","no","Very limited public documentation. Requires payment processing account. Smaller platform with less developer focus.","low"
"86","QuickBooks","Finance and Fintech","Intuit's accounting platform with OAuth2-based API","OAuth2","yes","Free developer account with sandbox companies. Production access requires QuickBooks subscription or Intuit partnership.","broad","REST","no","yes","OAuth2 setup is more complex than typical (discovery URL, realm ID). Sandbox vs production migration has specific steps. Rate limits per realm.","high"
"87","Xero","Finance and Fintech","Online accounting platform with REST API and OAuth2","OAuth2","yes","Free developer account (25 connections, 3 months free). Demo company available. Free tier accounting available.","broad","REST","no","yes","OAuth2 with PKCE adds complexity. Tenant/connection model requires multi-org handling. API is accounting domain-specific.","high"
"88","Brex","Finance and Fintech","Corporate card and spend management platform with REST API","OAuth2;API Key","partial","Brex account required. Free tier for startups. API accessible with account.","medium","REST","no","yes","Requires active Brex account (business/corporate card). API is spend-and-expense focused. Some endpoints may need admin approval.","medium"
"89","Ramp","Finance and Fintech","Corporate spend management with REST API","API Key","partial","Ramp corporate account required. No free developer-only tier. API access included with account.","medium","REST","no","yes","Requires active Ramp account (US business only). API is spend management focused. Newer API surface.","medium"
"90","PitchBook","Finance and Fintech","Private market data and research platform (no public API)","none","no","Enterprise subscription required (very expensive). No free tier. Data provided via partnership agreements.","none","none","no","no","No public API. Data access is via enterprise license only. Partnership or data feed agreement required.","high"
"91","NotebookLM","AI, Research and Media-native","Google's AI-powered research and note-taking assistant (limited API)","OAuth2","partial","Free to use via Google account. API access is limited - NotebookLM isn't designed as a developer platform.","none","none","no","no","NotebookLM has no public API for programmatic access. It's a consumer AI product, not a developer platform. Gemini API is the programmatic alternative.","high"
"92","Otter AI","AI, Research and Media-native","AI meeting assistant with transcription and note-taking","OAuth2","partial","Free tier available. Otter API access may require Business or Enterprise plan.","narrow","REST","yes","yes","Free tier API access may be limited. Meeting data access requires authorization. Transcription accuracy depends on audio quality.","medium"
"93","Fathom","AI, Research and Media-native","AI meeting assistant with real-time transcription and summarization","API Key;OAuth2","partial","Free tier available. API access may require paid plan.","narrow","REST","no","partial","Limited public API documentation. Fathom is primarily a consumer product with limited developer platform.","low"
"94","Consensus","AI, Research and Media-native","AI search engine for scientific research papers","OAuth2;API Key","yes","Free tier available. API access may have usage limits on free tier.","narrow","REST","no","yes","Narrow API - focused on paper search and consensus measurement. Limited to academic research use case.","medium"
"95","Reducto","AI, Research and Media-native","AI-powered document parsing and extraction API","API Key","yes","Free tier available. Pay-as-you-go for more volume.","narrow","REST","no","yes","Narrow API surface - document parsing only. Purpose-built tool, not a platform.","medium"
"96","Devin","AI, Research and Media-native","AI software engineering agent platform with API and MCP","API Key;Bearer Token","partial","Waitlist/beta access. Not fully open for self-serve yet. Limited availability.","narrow","REST","yes","partial","Still in limited beta/waitlist. Not generally available. API surface is evolving.","medium"
"97","higgsfield","AI, Research and Media-native","AI content creation suite with CLI tools and API","API Key","yes","Free tier available. Paid plans for higher usage.","narrow","REST","no","partial","Smaller platform, limited public developer documentation. API surface may not cover all product features.","low"
"98","Mermaid CLI","AI, Research and Media-native","CLI tool for generating diagrams from Markdown-like Mermaid syntax","none","yes","Open-source, free. Installed via npm. No cloud service.","none","none","no","no","Mermaid CLI is a local rendering tool, not an API platform. No cloud API to integrate with.","high"
"99","YouTube Transcript","AI, Research and Media-native","API for fetching YouTube video transcripts/captions","API Key","yes","Free tier available. Pay-as-you-go for volume. No YouTube account needed.","narrow","REST","yes","yes","Narrow API - transcripts only. Depends on YouTube captions being available. Language limitations.","high"
"100","Grain","AI, Research and Media-native","AI meeting recording and highlight platform","OAuth2;API Key","partial","Free tier available. API access may require paid plan.","narrow","REST","no","partial","API surface is limited to meeting recordings and highlights. Smaller platform. Paid API access likely needed.","medium"